TEAM1,TEAM2,WINNING_TEAM
2022IOWAST,2022WISCONSIN,2022IOWAST
2022MIAMIFL,2022AUBURN,2022MIAMIFL
2022GONZAGA,2022ARKANSAS,2022ARKANSAS
2022TEXASTECH,2022DUKE,2022DUKE
2022NORTHCAROLINA,2022UCLA,2022NORTHCAROLINA
2022PURDUE,2022SAINTPETERS,2022SAINTPETERS
2022ARIZONA,2022HOUSTON,2022HOUSTON
2022MICHIGAN,2022VILLANOVA,2022VILLANOVA
2022KANSAS,2022PROVIDENCE,2022KANSAS
2022IOWAST,2022MIAMIFL,2022MIAMIFL
2022ARKANSAS,2022DUKE,2022DUKE
2022NORTHCAROLINA,2022SAINTPETERS,2022NORTHCAROLINA
2022HOUSTON,2022VILLANOVA,2022VILLANOVA
2022KANSAS,2022MIAMIFL,2022KANSAS
2022DUKE,2022NORTHCAROLINA,2022NORTHCAROLINA
2022VILLANOVA,2022KANSAS,2022KANSAS
2022NORTHCAROLINA,2022KANSAS,2022KANSAS
2021GONZAGA,2021NORFOLKST,2021GONZAGA
2021OKLAHOMA,2021MISSOURI,2021OKLAHOMA
2021CREIGHTON,2021UCSANTABARBARA,2021CREIGHTON
2021VIRGINIA,2021OHIO,2021OHIO
2021USC,2021DRAKE,2021USC
2021KANSAS,2021EASTERNWASHINGTON,2021KANSAS
2021IOWA,2021GRANDCANYON,2021IOWA
2021MICHIGAN,2021TEXASSOUTHERN,2021MICHIGAN
2021LSU,2021STBONAVENTURE,2021LSU
2021COLORADO,2021GEORGETOWN,2021COLORADO
2021FLORIDAST,2021UNCGREENSBORO,2021FLORIDAST
2021BYU,2021UCLA,2021UCLA
2021TEXAS,2021ABILENECHRISTIAN,2021ABILENECHRISTIAN
2021CONNECTICUT,2021MARYLAND,2021MARYLAND
2021ALABAMA,2021IONA,2021ALABAMA
2021BAYLOR,2021HARTFORD,2021BAYLOR
2021NORTHCAROLINA,2021WISCONSIN,2021WISCONSIN
2021VILLANOVA,2021WINTHROP,2021VILLANOVA
2021PURDUE,2021NORTHTEXAS,2021NORTHTEXAS
2021TEXASTECH,2021UTAHST,2021TEXASTECH
2021ARKANSAS,2021COLGATE,2021ARKANSAS
2021FLORIDA,2021VIRGINIATECH,2021FLORIDA
2021OHIOST,2021ORALROBERTS,2021ORALROBERTS
2021ILLINOIS,2021DREXEL,2021ILLINOIS
2021LOYOLACHICAGO,2021GEORGIATECH,2021LOYOLACHICAGO
2021TENNESSEE,2021OREGONST,2021OREGONST
2021OKLAHOMAST,2021LIBERTY,2021OKLAHOMAST
2021SANDIEGOST,2021SYRACUSE,2021SYRACUSE
2021WESTVIRGINIA,2021MOREHEADST,2021WESTVIRGINIA
2021CLEMSON,2021RUTGERS,2021RUTGERS
2021HOUSTON,2021CLEVELANDST,2021HOUSTON
2021GONZAGA,2021OKLAHOMA,2021GONZAGA
2021CREIGHTON,2021OHIO,2021CREIGHTON
2021USC,2021KANSAS,2021USC
2021OREGON,2021IOWA,2021OREGON
2021MICHIGAN,2021LSU,2021MICHIGAN
2021COLORADO,2021FLORIDAST,2021FLORIDAST
2021UCLA,2021ABILENECHRISTIAN,2021UCLA
2021MARYLAND,2021ALABAMA,2021ALABAMA
2021BAYLOR,2021WISCONSIN,2021BAYLOR
2021VILLANOVA,2021NORTHTEXAS,2021VILLANOVA
2021TEXASTECH,2021ARKANSAS,2021ARKANSAS
2021FLORIDA,2021ORALROBERTS,2021ORALROBERTS
2021ILLINOIS,2021LOYOLACHICAGO,2021LOYOLACHICAGO
2021OREGONST,2021OKLAHOMAST,2021OREGONST
2021SYRACUSE,2021WESTVIRGINIA,2021SYRACUSE
2021RUTGERS,2021HOUSTON,2021HOUSTON
2021GONZAGA,2021CREIGHTON,2021GONZAGA
2021USC,2021OREGON,2021USC
2021MICHIGAN,2021FLORIDAST,2021MICHIGAN
2021UCLA,2021ALABAMA,2021UCLA
2021BAYLOR,2021VILLANOVA,2021BAYLOR
2021ARKANSAS,2021ORALROBERTS,2021ARKANSAS
2021LOYOLACHICAGO,2021OREGONST,2021OREGONST
2021SYRACUSE,2021HOUSTON,2021HOUSTON
2021GONZAGA,2021USC,2021GONZAGA
2021MICHIGAN,2021UCLA,2021UCLA
2021BAYLOR,2021ARKANSAS,2021BAYLOR
2021OREGONST,2021HOUSTON,2021HOUSTON
2021GONZAGA,2021UCLA,2021GONZAGA
2021BAYLOR,2021HOUSTON,2021BAYLOR
2021GONZAGA,2021BAYLOR,2021BAYLOR
2019DUKE,2019NORTHDAKOTAST,2019DUKE
2019VCU,2019UCF,2019UCF
2019MISSISSIPPIST,2019LIBERTY,2019LIBERTY
2019VIRGINIATECH,2019SAINTLOUIS,2019VIRGINIATECH
2019MARYLAND,2019BELMONT,2019MARYLAND
2019LSU,2019YALE,2019LSU
2019LOUISVILLE,2019MINNESOTA,2019MINNESOTA
2019MICHIGANST,2019BRADLEY,2019MICHIGANST
2019GONZAGA,2019FAIRLEIGHDICKINSON,2019GONZAGA
2019SYRACUSE,2019BAYLOR,2019BAYLOR
2019MARQUETTE,2019MURRAYST,2019MURRAYST
2019FLORIDAST,2019VERMONT,2019FLORIDAST
2019BUFFALO,2019ARIZONAST,2019BUFFALO
2019TEXASTECH,2019NORTHERNKENTUCKY,2019TEXASTECH
2019NEVADA,2019FLORIDA,2019FLORIDA
2019MICHIGAN,2019MONTANA,2019MICHIGAN
2019VIRGINIA,2019GARDNERWEBB,2019VIRGINIA
2019MISSISSIPPI,2019OKLAHOMA,2019OKLAHOMA
2019WISCONSIN,2019OREGON,2019OREGON
2019KANSASST,2019UCIRVINE,2019UCIRVINE
2019VILLANOVA,2019SAINTMARYS,2019VILLANOVA
2019PURDUE,2019OLDDOMINION,2019PURDUE
2019CINCINNATI,2019IOWA,2019IOWA
2019TENNESSEE,2019COLGATE,2019TENNESSEE
2019NORTHCAROLINA,2019IONA,2019NORTHCAROLINA
2019UTAHST,2019WASHINGTON,2019WASHINGTON
2019AUBURN,2019NEWMEXICOST,2019AUBURN
2019KANSAS,2019NORTHEASTERN,2019KANSAS
2019IOWAST,2019OHIOST,2019OHIOST
2019HOUSTON,2019GEORGIAST,2019HOUSTON
2019WOFFORD,2019SETONHALL,2019WOFFORD
2019KENTUCKY,2019ABILENECHRISTIAN,2019KENTUCKY
2019DUKE,2019UCF,2019DUKE
2019LIBERTY,2019VIRGINIATECH,2019VIRGINIATECH
2019MARYLAND,2019LSU,2019LSU
2019MINNESOTA,2019MICHIGANST,2019MICHIGANST
2019GONZAGA,2019BAYLOR,2019GONZAGA
2019MURRAYST,2019FLORIDAST,2019FLORIDAST
2019BUFFALO,2019TEXASTECH,2019TEXASTECH
2019FLORIDA,2019MICHIGAN,2019MICHIGAN
2019VIRGINIA,2019OKLAHOMA,2019VIRGINIA
2019OREGON,2019UCIRVINE,2019OREGON
2019VILLANOVA,2019PURDUE,2019PURDUE
2019IOWA,2019TENNESSEE,2019TENNESSEE
2019NORTHCAROLINA,2019WASHINGTON,2019NORTHCAROLINA
2019AUBURN,2019KANSAS,2019AUBURN
2019OHIOST,2019HOUSTON,2019HOUSTON
2019WOFFORD,2019KENTUCKY,2019KENTUCKY
2019DUKE,2019VIRGINIATECH,2019DUKE
2019LSU,2019MICHIGANST,2019MICHIGANST
2019GONZAGA,2019FLORIDAST,2019GONZAGA
2019TEXASTECH,2019MICHIGAN,2019TEXASTECH
2019VIRGINIA,2019OREGON,2019VIRGINIA
2019PURDUE,2019TENNESSEE,2019PURDUE
2019NORTHCAROLINA,2019AUBURN,2019AUBURN
2019HOUSTON,2019KENTUCKY,2019KENTUCKY
2019DUKE,2019MICHIGANST,2019MICHIGANST
2019GONZAGA,2019TEXASTECH,2019TEXASTECH
2019VIRGINIA,2019PURDUE,2019VIRGINIA
2019AUBURN,2019KENTUCKY,2019AUBURN
2019MICHIGANST,2019TEXASTECH,2019TEXASTECH
2019VIRGINIA,2019AUBURN,2019VIRGINIA
2019TEXASTECH,2019VIRGINIA,2019VIRGINIA
2018VIRGINIA,2018UMBC,2018UMBC
2018CREIGHTON,2018KANSASST,2018KANSASST
2018KENTUCKY,2018DAVIDSON,2018KENTUCKY
2018ARIZONA,2018BUFFALO,2018BUFFALO
2018MIAMIFL,2018LOYOLACHICAGO,2018LOYOLACHICAGO
2018TENNESSEE,2018WRIGHTST,2018TENNESSEE
2018NEVADA,2018TEXAS,2018NEVADA
2018CINCINNATI,2018GEORGIAST,2018CINCINNATI
2018XAVIER,2018TEXASSOUTHERN,2018XAVIER
2018MISSOURI,2018FLORIDAST,2018FLORIDAST
2018OHIOST,2018SOUTHDAKOTAST,2018OHIOST
2018GONZAGA,2018UNCGREENSBORO,2018GONZAGA
2018HOUSTON,2018SANDIEGOST,2018HOUSTON
2018MICHIGAN,2018MONTANA,2018MICHIGAN
2018TEXASAM,2018PROVIDENCE,2018TEXASAM
2018NORTHCAROLINA,2018LIPSCOMB,2018NORTHCAROLINA
2018VILLANOVA,2018RADFORD,2018VILLANOVA
2018VIRGINIATECH,2018ALABAMA,2018ALABAMA
2018WESTVIRGINIA,2018MURRAYST,2018WESTVIRGINIA
2018WICHITAST,2018MARSHALL,2018MARSHALL
2018FLORIDA,2018STBONAVENTURE,2018FLORIDA
2018TEXASTECH,2018STEPHENFAUSTIN,2018TEXASTECH
2018ARKANSAS,2018BUTLER,2018BUTLER
2018PURDUE,2018CALSTFULLERTON,2018PURDUE
2018KANSAS,2018PENN,2018KANSAS
2018SETONHALL,2018NORTHCAROLINAST,2018SETONHALL
2018CLEMSON,2018NEWMEXICOST,2018CLEMSON
2018AUBURN,2018COLLEGEOFCHARLESTON,2018AUBURN
2018TCU,2018SYRACUSE,2018SYRACUSE
2018MICHIGANST,2018BUCKNELL,2018MICHIGANST
2018RHODEISLAND,2018OKLAHOMA,2018RHODEISLAND
2018DUKE,2018IONA,2018DUKE
2018UMBC,2018KANSASST,2018KANSASST
2018KENTUCKY,2018BUFFALO,2018KENTUCKY
2018LOYOLACHICAGO,2018TENNESSEE,2018LOYOLACHICAGO
2018NEVADA,2018CINCINNATI,2018NEVADA
2018XAVIER,2018FLORIDAST,2018FLORIDAST
2018OHIOST,2018GONZAGA,2018GONZAGA
2018HOUSTON,2018MICHIGAN,2018MICHIGAN
2018TEXASAM,2018NORTHCAROLINA,2018TEXASAM
2018VILLANOVA,2018ALABAMA,2018VILLANOVA
2018WESTVIRGINIA,2018MARSHALL,2018WESTVIRGINIA
2018FLORIDA,2018TEXASTECH,2018TEXASTECH
2018BUTLER,2018PURDUE,2018PURDUE
2018KANSAS,2018SETONHALL,2018KANSAS
2018CLEMSON,2018AUBURN,2018CLEMSON
2018SYRACUSE,2018MICHIGANST,2018SYRACUSE
2018RHODEISLAND,2018DUKE,2018DUKE
2018KANSASST,2018KENTUCKY,2018KANSASST
2018LOYOLACHICAGO,2018NEVADA,2018LOYOLACHICAGO
2018FLORIDAST,2018GONZAGA,2018FLORIDAST
2018MICHIGAN,2018TEXASAM,2018MICHIGAN
2018VILLANOVA,2018WESTVIRGINIA,2018VILLANOVA
2018TEXASTECH,2018PURDUE,2018TEXASTECH
2018KANSAS,2018CLEMSON,2018KANSAS
2018SYRACUSE,2018DUKE,2018DUKE
2018KANSASST,2018LOYOLACHICAGO,2018LOYOLACHICAGO
2018FLORIDAST,2018MICHIGAN,2018MICHIGAN
2018VILLANOVA,2018TEXASTECH,2018VILLANOVA
2018KANSAS,2018DUKE,2018KANSAS
2018LOYOLACHICAGO,2018MICHIGAN,2018MICHIGAN
2018VILLANOVA,2018KANSAS,2018VILLANOVA
2018MICHIGAN,2018VILLANOVA,2018VILLANOVA
2017VILLANOVA,2017MOUNTSTMARYS,2017VILLANOVA
2017WISCONSIN,2017VIRGINIATECH,2017WISCONSIN
2017VIRGINIA,2017UNCWILMINGTON,2017VIRGINIA
2017FLORIDA,2017EASTTENNESSEEST,2017FLORIDA
2017SMU,2017USC,2017USC
2017BAYLOR,2017NEWMEXICOST,2017BAYLOR
2017SOUTHCAROLINA,2017MARQUETTE,2017SOUTHCAROLINA
2017DUKE,2017TROY,2017DUKE
2017GONZAGA,2017SOUTHDAKOTAST,2017GONZAGA
2017NORTHWESTERN,2017VANDERBILT,2017NORTHWESTERN
2017NOTREDAME,2017PRINCETON,2017NOTREDAME
2017WESTVIRGINIA,2017BUCKNELL,2017WESTVIRGINIA
2017MARYLAND,2017XAVIER,2017XAVIER
2017FLORIDAST,2017FLORIDAGULFCOAST,2017FLORIDAST
2017SAINTMARYS,2017VCU,2017SAINTMARYS
2017ARIZONA,2017NORTHDAKOTA,2017ARIZONA
2017KANSAS,2017UCDAVIS,2017KANSAS
2017MIAMIFL,2017MICHIGANST,2017MICHIGANST
2017IOWAST,2017NEVADA,2017IOWAST
2017PURDUE,2017VERMONT,2017PURDUE
2017CREIGHTON,2017RHODEISLAND,2017RHODEISLAND
2017OREGON,2017IONA,2017OREGON
2017MICHIGAN,2017OKLAHOMAST,2017MICHIGAN
2017LOUISVILLE,2017JACKSONVILLEST,2017LOUISVILLE
2017NORTHCAROLINA,2017TEXASSOUTHERN,2017NORTHCAROLINA
2017ARKANSAS,2017SETONHALL,2017ARKANSAS
2017MINNESOTA,2017MIDDLETENNESSEE,2017MIDDLETENNESSEE
2017BUTLER,2017WINTHROP,2017BUTLER
2017CINCINNATI,2017KANSASST,2017CINCINNATI
2017UCLA,2017KENTST,2017UCLA
2017DAYTON,2017WICHITAST,2017WICHITAST
2017KENTUCKY,2017NORTHERNKENTUCKY,2017KENTUCKY
2017VILLANOVA,2017WISCONSIN,2017WISCONSIN
2017VIRGINIA,2017FLORIDA,2017FLORIDA
2017USC,2017BAYLOR,2017BAYLOR
2017SOUTHCAROLINA,2017DUKE,2017SOUTHCAROLINA
2017GONZAGA,2017NORTHWESTERN,2017GONZAGA
2017NOTREDAME,2017WESTVIRGINIA,2017WESTVIRGINIA
2017XAVIER,2017FLORIDAST,2017XAVIER
2017SAINTMARYS,2017ARIZONA,2017ARIZONA
2017KANSAS,2017MICHIGANST,2017KANSAS
2017IOWAST,2017PURDUE,2017PURDUE
2017RHODEISLAND,2017OREGON,2017OREGON
2017MICHIGAN,2017LOUISVILLE,2017MICHIGAN
2017NORTHCAROLINA,2017ARKANSAS,2017NORTHCAROLINA
2017MIDDLETENNESSEE,2017BUTLER,2017BUTLER
2017CINCINNATI,2017UCLA,2017UCLA
