TEAM,SEED
2019MINNESOTA,10
2019MICHIGANST,2
2019BRADLEY,15
2019GONZAGA,1
2019FAIRLEIGHDICKINSON,16
2019SYRACUSE,8
2019BAYLOR,9
2019MARQUETTE,5
2019MURRAYST,12
2019FLORIDAST,4
2019VERMONT,13
2019BUFFALO,6
2019ARIZONAST,11
2019TEXASTECH,3
2019NORTHERNKENTUCKY,14
2019NEVADA,7
2019FLORIDA,10
2019MICHIGAN,2
2019MONTANA,15
2019VIRGINIA,1
2019GARDNERWEBB,16
2019MISSISSIPPI,8
2019OKLAHOMA,9
2019WISCONSIN,5
2019OREGON,12
2019KANSASST,4
2019UCIRVINE,13
2019VILLANOVA,6
2019SAINTMARYS,11
2019PURDUE,3
2019OLDDOMINION,14
2019CINCINNATI,7
2019IOWA,10
2019TENNESSEE,2
2019COLGATE,15
2019NORTHCAROLINA,1
2019IONA,16
2019UTAHST,8
2019WASHINGTON,9
2019AUBURN,5
2019NEWMEXICOST,12
2019KANSAS,4
2019NORTHEASTERN,13
2019IOWAST,6
2019OHIOST,11
2019HOUSTON,3
2019GEORGIAST,14
2019WOFFORD,7
2019SETONHALL,10
2019KENTUCKY,2
2019ABILENECHRISTIAN,15
2018VIRGINIA,1
2018UMBC,16
2018CREIGHTON,8
2018KANSASST,9
2018KENTUCKY,5
2018DAVIDSON,12
2018ARIZONA,4
2018BUFFALO,13
2018MIAMIFL,6
2018LOYOLACHICAGO,11
2018TENNESSEE,3
2018WRIGHTST,14
2018NEVADA,7
2018TEXAS,10
2018CINCINNATI,2
2018GEORGIAST,15
2018XAVIER,1
2018TEXASSOUTHERN,16
2018MISSOURI,8
2018FLORIDAST,9
2018OHIOST,5
2018SOUTHDAKOTAST,12
2018GONZAGA,4
2018UNCGREENSBORO,13
2018HOUSTON,6
2018SANDIEGOST,11
2018MICHIGAN,3
2018MONTANA,14
2018TEXASAM,7
2018PROVIDENCE,10
2018NORTHCAROLINA,2
2018LIPSCOMB,15
2018VILLANOVA,1
2018RADFORD,16
2018VIRGINIATECH,8
2018ALABAMA,9
2018WESTVIRGINIA,5
2018MURRAYST,12
2018WICHITAST,4
2018MARSHALL,13
2018FLORIDA,6
2018STBONAVENTURE,11
2018TEXASTECH,3
2018STEPHENFAUSTIN,14
2018ARKANSAS,7
2018BUTLER,10
2018PURDUE,2
2018CALSTFULLERTON,15
2018KANSAS,1
2018PENN,16
2018SETONHALL,8
2018NORTHCAROLINAST,9
2018CLEMSON,5
2018NEWMEXICOST,12
2018AUBURN,4
2018COLLEGEOFCHARLESTON,13
2018TCU,6
2018SYRACUSE,11
2018MICHIGANST,3
2018BUCKNELL,14
2018RHODEISLAND,7
2018OKLAHOMA,10
2018DUKE,2
2018IONA,15
2017VILLANOVA,1
2017MOUNTSTMARYS,16
2017WISCONSIN,8
2017VIRGINIATECH,9
2017VIRGINIA,5
2017UNCWILMINGTON,12
2017FLORIDA,4
2017EASTTENNESSEEST,13
2017SMU,6
2017USC,11
2017BAYLOR,3
2017NEWMEXICOST,14
2017SOUTHCAROLINA,7
2017MARQUETTE,10
2017DUKE,2
2017TROY,15
2017GONZAGA,1
2017SOUTHDAKOTAST,16
2017NORTHWESTERN,8
2017VANDERBILT,9
2017NOTREDAME,5
2017PRINCETON,12
2017WESTVIRGINIA,4
2017BUCKNELL,13
2017MARYLAND,6
2017XAVIER,11
2017FLORIDAST,3
2017FLORIDAGULFCOAST,14
2017SAINTMARYS,7
2017VCU,10
2017ARIZONA,2
2017NORTHDAKOTA,15
2017KANSAS,1
2017UCDAVIS,16
2017MIAMIFL,8
2017MICHIGANST,9
2017IOWAST,5
2017NEVADA,12
2017PURDUE,4
2017VERMONT,13
2017CREIGHTON,6
2017RHODEISLAND,11
2017OREGON,3
2017IONA,14
2017MICHIGAN,7
2017OKLAHOMAST,10
2017LOUISVILLE,2
2017JACKSONVILLEST,15
2017NORTHCAROLINA,1
2017TEXASSOUTHERN,16
2017ARKANSAS,8
2017SETONHALL,9
2017MINNESOTA,5
2017MIDDLETENNESSEE,12
2017BUTLER,4
2017WINTHROP,13
2017CINCINNATI,6
2017KANSASST,11
2017UCLA,3
2017KENTST,14
2017DAYTON,7
2017WICHITAST,10
2017KENTUCKY,2
2017NORTHERNKENTUCKY,15
2016KANSAS,1
2016AUSTINPEAY,16
2016COLORADO,8
2016CONNECTICUT,9
2016MARYLAND,5
2016SOUTHDAKOTAST,12
2016CALIFORNIA,4
2016HAWAII,13
2016ARIZONA,6
2016WICHITAST,11
2016MIAMIFL,3
2016BUFFALO,14
2016IOWA,7
2016TEMPLE,10
2016VILLANOVA,2
2016UNCASHEVILLE,15
2016OREGON,1
2016HOLYCROSS,16
2016SAINTJOSEPHS,8
2016CINCINNATI,9
2016BAYLOR,5
2016YALE,12
2016DUKE,4
2016UNCWILMINGTON,13
2016TEXAS,6
2016NORTHERNIOWA,11
2016TEXASAM,3
2016GREENBAY,14
2016OREGONST,7
2016VCU,10
2016OKLAHOMA,2
2016CALSTBAKERSFIELD,15
2016NORTHCAROLINA,1
2016FLORIDAGULFCOAST,16
2016USC,8
2016PROVIDENCE,9
2016INDIANA,5
2016CHATTANOOGA,12
2016KENTUCKY,4
2016STONYBROOK,13
2016NOTREDAME,6
2016MICHIGAN,11
2016WESTVIRGINIA,3
2016STEPHENFAUSTIN,14
2016WISCONSIN,7
2016PITTSBURGH,10
2016XAVIER,2
2016WEBERST,15
2016VIRGINIA,1
2016HAMPTON,16
2016TEXASTECH,8
2016BUTLER,9
2016PURDUE,5
2016LITTLEROCK,12
2016IOWAST,4
2016IONA,13
2016SETONHALL,6
2016GONZAGA,11
2016UTAH,3
2016FRESNOST,14
2016DAYTON,7
2016SYRACUSE,10
2016MICHIGANST,2
2016MIDDLETENNESSEE,15
2015KENTUCKY,1
2015HAMPTON,16
2015CINCINNATI,8
2015PURDUE,9
2015WESTVIRGINIA,5
2015BUFFALO,12
2015MARYLAND,4
2015VALPARAISO,13
2015BUTLER,6
2015TEXAS,11
2015NOTREDAME,3
2015NORTHEASTERN,14
2015WICHITAST,7
2015INDIANA,10
2015KANSAS,2
2015NEWMEXICOST,15
2015WISCONSIN,1
2015COASTALCAROLINA,16
2015OREGON,8
2015OKLAHOMAST,9
2015ARKANSAS,5
2015WOFFORD,12
2015NORTHCAROLINA,4
2015HARVARD,13
2015XAVIER,6
2015MISSISSIPPI,11
2015BAYLOR,3
2015GEORGIAST,14
2015VCU,7
2015OHIOST,10
2015ARIZONA,2
2015TEXASSOUTHERN,15
2015VILLANOVA,1
2015LAFAYETTE,16
2015NORTHCAROLINAST,8
2015LSU,9
2015NORTHERNIOWA,5
2015WYOMING,12
2015LOUISVILLE,4
2015UCIRVINE,13
2015PROVIDENCE,6
