Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,GP_Opp,MPG_Opp,PPG_Opp,FGM_Opp,FGA_Opp,FG%_Opp,3PM_Opp,3PA_Opp,3P%_Opp,FTM_Opp,FTA_Opp,FT%_Opp,ORB_Opp,DRB_Opp,RPG_Opp,APG_Opp,SPG_Opp,BPG_Opp,TOV_Opp,PF_Opp
2019GONZAGA,37,40.0,87.6,31.8,60.5,.526,7.8,21.4,.363,16.3,21.4,.761,9.5,28.4,37.9,17.9,7.5,5.4,10.6,16.3,37,40.0,64.9,23.7,61.0,.389,6.5,21.3,.304,11.0,15.8,.697,9.6,21.1,30.7,9.8,5.4,2.3,12.7,18.5
2019BELMONT,33,40.3,86.9,31.6,63.5,.498,10.4,27.9,.372,13.4,18.1,.737,8.1,29.3,37.4,19.5,6.7,3.8,11.4,15.4,33,40.3,73.9,27.1,63.9,.424,7.7,22.5,.341,12.0,17.2,.696,9.3,25.0,34.3,12.2,6.1,3.5,12.4,16.7
2019NORTHCAROLINA,36,40.1,85.8,31.1,66.9,.464,8.7,23.9,.362,15.0,20.2,.743,12.7,30.2,42.9,18.8,7.0,3.3,13.1,17.0,36,40.1,73.2,26.0,62.4,.416,9.2,27.4,.335,12.1,17.8,.679,8.5,23.6,32.1,14.1,6.8,4.7,13.7,17.5
2019THECITADEL,30,40.3,85.1,30.0,67.0,.447,12.3,35.9,.344,12.8,17.4,.736,10.2,25.5,35.7,15.4,6.7,3.7,12.9,17.6,30,40.3,86.1,30.3,65.6,.462,11.5,31.1,.371,14.0,20.0,.701,11.4,27.9,39.4,18.3,6.8,3.5,13.5,17.1
2019SOUTHDAKOTAST,33,40.0,84.5,29.8,59.5,.501,9.9,24.3,.408,15.0,19.2,.778,7.1,29.8,36.9,14.8,6.1,2.0,11.7,16.9,33,40.0,73.5,26.4,63.0,.419,10.3,30.1,.344,10.4,15.1,.685,8.3,24.1,32.4,12.8,5.5,3.1,11.5,18.5
2019BUFFALO,36,40.1,84.4,30.1,65.1,.462,9.6,28.4,.337,14.6,21.3,.687,12.1,27.6,39.7,16.6,7.3,3.9,12.0,18.3,36,40.1,70.8,25.4,60.6,.420,6.6,22.0,.298,13.4,19.1,.702,9.8,26.2,36.1,10.3,5.3,3.1,15.0,19.6
2019HOFSTRA,35,41.1,83.4,28.5,58.7,.486,8.8,22.9,.385,17.6,21.9,.802,8.5,24.2,32.7,14.1,6.5,3.5,9.8,15.0,35,41.1,72.9,27.3,60.4,.452,7.7,22.3,.347,10.6,15.2,.699,9.9,22.5,32.4,14.6,4.6,2.6,12.5,19.2
2019WINTHROP,30,40.3,83.3,28.5,62.6,.455,12.4,33.2,.373,13.9,18.8,.738,10.5,29.3,39.8,15.3,4.5,2.8,15.2,17.8,30,40.3,78.6,28.1,64.8,.433,8.9,26.4,.336,13.6,19.0,.715,9.1,25.1,34.2,13.4,7.3,3.2,11.7,18.5
2019LIPSCOMB,37,40.0,83.1,28.9,60.3,.480,8.8,23.7,.373,16.4,21.6,.758,8.5,27.5,36.0,17.7,7.2,2.9,13.2,17.1,37,40.0,70.2,25.1,60.2,.417,7.5,23.6,.319,12.4,16.6,.749,8.0,24.3,32.3,12.4,6.5,3.8,14.9,19.7
2019CENTRALMICHIGAN,35,40.7,82.7,28.3,62.2,.455,8.7,23.5,.371,17.4,25.9,.671,11.5,25.1,36.7,13.3,7.6,3.1,12.1,16.9,35,40.7,76.9,28.9,64.3,.449,6.7,23.0,.294,12.4,18.1,.687,11.6,25.2,36.8,12.1,5.2,4.8,14.7,20.6
2019DUKE,38,40.1,82.7,30.4,63.6,.478,7.3,23.8,.308,14.5,21.1,.686,12.7,27.7,40.4,15.9,9.1,6.8,12.8,15.7,38,40.1,67.8,25.3,63.6,.398,6.7,22.2,.300,10.6,15.2,.696,11.1,23.1,34.2,12.6,6.4,3.2,13.9,17.3
