Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,GP_Opp,MPG_Opp,PPG_Opp,FGM_Opp,FGA_Opp,FG%_Opp,3PM_Opp,3PA_Opp,3P%_Opp,FTM_Opp,FTA_Opp,FT%_Opp,ORB_Opp,DRB_Opp,RPG_Opp,APG_Opp,SPG_Opp,BPG_Opp,TOV_Opp,PF_Opp
2017THECITADEL,33,40.5,89.8,29.7,71.5,.415,12.0,35.3,.340,18.4,24.3,.757,13.0,23.2,36.2,17.0,9.3,2.6,14.3,22.3,33,40.4,94.6,33.5,65.5,.512,8.5,22.1,.387,19.0,27.0,.704,12.1,30.6,42.7,19.0,7.2,4.0,17.2,21.2
2017UCLA,36,40.0,89.8,33.6,64.4,.522,9.8,24.2,.406,12.8,17.3,.738,9.0,28.6,37.5,21.4,5.9,5.3,11.2,16.2,36,40.0,75.5,27.8,65.9,.422,8.6,23.6,.365,11.4,16.7,.679,10.6,22.8,33.4,13.0,6.3,1.8,11.5,17.1
2017CENTRALMICHIGAN,32,40.5,88.3,28.5,67.3,.424,12.5,34.8,.358,18.8,23.8,.791,10.8,26.8,37.6,11.3,5.7,2.9,11.3,19.1,32,40.5,87.7,31.9,69.4,.460,8.8,25.5,.346,15.0,21.5,.699,12.9,29.1,42.0,14.6,5.9,3.4,12.3,20.4
2017FORTWAYNE,33,40.6,86.9,32.0,64.5,.496,10.7,26.5,.402,12.3,17.0,.725,9.5,27.1,36.6,17.5,7.7,3.9,13.6,17.9,33,40.6,78.8,27.3,61.5,.443,9.9,25.9,.383,14.4,19.3,.747,7.8,23.9,31.7,14.9,6.3,2.5,14.1,16.9
2017MONTANAST,32,45.2,86.8,29.0,66.6,.435,11.0,29.6,.372,17.8,24.3,.735,10.3,26.7,36.9,15.4,6.2,2.3,13.8,24.6,32,41.3,79.1,25.5,56.7,.449,8.2,21.9,.375,20.0,28.1,.710,9.2,26.8,36.0,12.5,5.8,3.1,13.6,22.0
2017OKLAHOMAST,33,40.0,85.7,29.0,62.1,.467,8.9,22.2,.402,18.8,23.8,.789,12.6,22.5,35.2,14.7,7.6,3.0,13.1,22.1,33,40.0,78.5,26.5,56.2,.471,7.1,19.4,.367,18.3,25.3,.724,9.9,21.5,31.5,13.7,6.5,4.3,14.8,20.7
2017SAVANNAHST,29,40.2,85.7,28.7,70.0,.410,13.5,40.8,.332,14.7,22.7,.648,11.3,27.0,38.3,17.3,7.8,3.2,14.9,19.7,29,40.2,91.9,33.1,73.2,.452,10.6,31.9,.332,15.1,22.5,.671,15.2,32.1,47.3,20.2,6.3,4.6,15.7,20.1
2017MARSHALL,35,40.4,85.6,29.2,63.9,.456,10.2,27.5,.370,17.1,23.3,.734,8.7,26.9,35.6,16.5,6.0,4.0,12.3,18.4,35,40.4,84.0,31.5,68.4,.461,6.9,20.1,.344,14.0,21.2,.659,12.2,28.2,40.4,14.9,6.1,3.3,13.1,20.4
2017PORTLANDST,31,41.3,85.3,30.9,64.2,.482,7.7,22.5,.341,15.8,24.0,.658,9.8,23.4,33.2,15.8,9.9,2.6,12.1,19.0,31,41.3,81.8,29.0,60.4,.481,8.9,24.1,.369,14.8,20.4,.726,10.1,26.7,36.8,16.5,5.9,2.7,16.6,20.1
2017LIPSCOMB,33,40.2,85.0,28.5,59.9,.475,10.3,28.1,.366,17.8,24.6,.723,9.8,25.9,35.7,18.2,6.6,3.2,15.2,21.3,33,40.1,77.6,26.4,59.6,.443,7.4,21.2,.348,17.4,25.1,.694,10.5,24.0,34.5,13.1,6.8,3.2,15.6,22.2
2017KENTUCKY,38,40.1,84.9,29.8,63.1,.473,7.0,19.9,.353,18.2,25.8,.703,11.6,26.7,38.3,15.4,6.0,5.3,11.7,18.8,38,40.1,71.5,25.8,60.8,.424,6.2,20.2,.306,13.8,20.4,.676,9.5,24.0,33.5,11.3,4.8,3.3,14.1,22.8
2017UNCWILMINGTON,35,40.1,84.8,30.6,63.7,.480,9.6,26.2,.366,14.0,20.2,.691,11.7,23.4,35.1,16.1,6.7,3.3,10.4,20.0,35,40.1,75.0,26.8,56.1,.478,5.5,16.2,.338,15.9,22.2,.716,8.3,23.8,32.1,12.4,4.9,2.8,14.1,18.9
2017NORTHCAROLINA,40,40.1,84.4,30.7,65.8,.466,7.1,20.0,.355,16.1,22.9,.701,14.5,27.1,41.6,18.1,7.1,3.5,11.8,17.8,40,40.1,70.6,24.6,59.4,.413,8.0,23.5,.340,13.5,18.7,.725,8.6,21.3,29.9,11.5,6.2,4.4,13.2,19.5
2017OMAHA,32,40.5,83.9,28.0,61.6,.454,9.3,23.9,.388,18.7,25.0,.748,10.3,25.0,35.3,13.8,8.2,3.3,13.9,19.3,32,40.7,84.1,29.6,63.7,.464,9.2,24.8,.371,15.7,21.3,.738,10.7,25.7,36.4,15.6,6.7,3.9,15.1,21.4
2017KANSAS,36,40.4,83.2,29.8,60.9,.488,8.8,21.9,.404,14.9,21.9,.678,11.3,26.2,37.5,16.2,6.9,4.5,12.6,17.8,36,40.4,71.9,25.7,61.1,.420,7.4,20.9,.356,13.1,18.3,.715,10.6,22.4,33.0,12.8,6.8,3.7,12.8,18.7
2017WAKEFOREST,33,40.0,82.8,28.0,59.2,.472,8.1,21.1,.385,18.8,24.1,.778,9.9,25.2,35.1,15.5,5.5,3.7,11.8,20.2,33,40.0,78.4,27.0,59.0,.457,8.2,22.9,.358,16.2,22.4,.724,9.0,23.1,32.1,14.2,6.0,3.8,11.8,21.2
2017GONZAGA,39,40.0,82.6,29.5,58.5,.504,7.3,19.2,.382,16.4,22.8,.717,9.0,30.3,39.3,15.3,6.8,4.7,11.5,16.9,39,40.0,61.5,22.4,61.5,.365,5.7,19.7,.290,10.9,16.6,.658,10.3,22.0,32.3,9.7,5.4,3.1,11.7,19.7
2017MARQUETTE,32,40.2,82.2,28.7,59.0,.487,10.5,24.5,.429,14.3,18.3,.781,8.4,24.0,32.4,16.4,7.2,3.6,12.4,19.4,32,40.2,75.5,26.8,58.4,.459,7.3,20.0,.368,14.5,20.8,.697,9.6,23.1,32.7,16.0,6.6,3.6,13.1,17.1
2017FLORIDAST,35,40.0,82.1,29.6,61.3,.483,6.7,19.2,.347,16.2,23.5,.689,11.3,25.5,36.9,14.6,7.4,5.1,11.9,19.5,35,40.0,72.1,24.5,58.9,.416,7.4,21.2,.349,15.7,22.0,.715,10.4,22.2,32.6,12.1,5.0,3.0,13.8,19.7
2017LOUISIANA,33,40.2,81.9,28.6,61.3,.467,7.0,20.4,.343,17.7,25.4,.695,12.7,24.2,36.9,14.4,7.1,2.8,13.3,18.8,33,40.3,76.8,27.5,58.3,.472,7.0,19.6,.358,14.7,21.1,.697,8.6,22.7,31.3,12.7,6.1,3.3,15.1,20.9
2017CREIGHTON,35,40.0,81.8,30.8,61.1,.504,8.7,21.9,.397,11.5,16.9,.682,7.7,26.1,33.8,17.1,6.1,2.9,12.4,16.7,35,40.0,72.8,26.7,61.0,.437,7.4,22.5,.330,12.1,17.6,.688,10.2,24.4,34.7,12.8,6.7,2.9,13.5,17.4
2017WILLIAMMARY,31,40.3,81.7,28.6,58.3,.491,9.1,23.9,.382,15.4,22.2,.692,8.4,27.3,35.6,17.5,5.4,4.9,12.5,18.3,31,40.3,77.8,27.0,61.2,.442,8.7,25.0,.348,15.0,21.3,.706,9.7,24.0,33.7,13.3,6.4,3.7,11.2,18.8
2017RICE,35,40.4,81.5,27.0,58.5,.462,9.3,24.0,.388,18.1,24.5,.740,9.5,27.4,36.9,13.8,6.3,3.7,15.0,19.1,35,40.6,76.0,27.0,61.6,.438,6.5,20.0,.327,15.5,21.8,.708,9.3,24.2,33.4,13.3,7.2,2.7,13.6,21.4
2017WESTVIRGINIA,37,40.7,81.5,28.6,63.1,.454,7.4,20.5,.362,16.8,24.5,.685,13.8,22.5,36.3,16.4,10.0,4.8,12.3,20.4,37,40.7,66.7,22.3,52.6,.424,6.8,19.1,.353,15.3,22.4,.683,10.1,23.1,33.2,11.9,5.6,3.8,19.7,21.4
2017MONMOUTH,34,40.4,81.2,27.3,62.6,.437,8.9,23.9,.373,17.6,23.3,.757,10.3,26.7,37.0,12.7,6.9,4.6,12.5,20.5,34,40.4,73.6,25.1,61.7,.407,7.8,23.4,.334,15.6,22.0,.711,11.4,25.9,37.2,13.1,5.9,4.4,14.3,20.5
2017UMBC,34,40.9,81.1,28.1,60.0,.469,9.7,24.7,.393,15.1,20.3,.745,8.5,25.8,34.2,14.9,6.6,2.4,12.1,18.4,34,40.9,77.2,27.1,59.7,.454,8.1,22.8,.354,14.9,20.6,.723,9.3,25.4,34.6,14.0,5.6,2.4,12.8,18.7
2017WICHITAST,36,40.0,81.0,27.6,58.8,.469,8.6,21.4,.403,17.3,23.6,.733,11.3,28.4,39.7,16.3,6.5,3.9,11.3,18.8,36,40.0,62.4,20.9,55.6,.377,6.7,21.5,.311,13.8,19.9,.692,8.2,22.0,30.3,10.4,5.3,3.3,13.3,20.9
2017DUKE,37,40.0,80.8,27.5,58.0,.475,8.4,22.2,.379,17.4,22.8,.762,10.2,25.3,35.5,13.1,6.1,4.6,11.4,18.2,37,40.0,70.2,25.9,60.0,.432,5.1,17.3,.293,13.3,18.7,.710,10.1,22.3,32.4,12.1,4.7,2.4,11.8,19.9
2017IOWAST,35,40.7,80.8,29.5,62.5,.472,9.8,24.6,.400,12.1,17.3,.700,8.7,25.1,33.8,15.8,7.8,3.5,10.1,15.9,35,40.7,72.3,26.7,62.2,.428,7.7,22.3,.346,11.2,15.9,.704,11.2,25.7,37.0,13.8,4.8,3.5,14.2,16.5
2017BYU,34,40.0,80.6,27.6,60.5,.456,6.8,19.6,.344,18.7,25.6,.733,10.2,30.1,40.3,15.7,6.6,4.6,13.8,19.3,34,40.0,74.2,26.6,64.0,.416,8.1,24.9,.324,12.9,19.9,.645,9.7,25.4,35.1,14.2,7.0,3.0,12.0,21.4
