Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,GP_Opp,MPG_Opp,PPG_Opp,FGM_Opp,FGA_Opp,FG%_Opp,3PM_Opp,3PA_Opp,3P%_Opp,FTM_Opp,FTA_Opp,FT%_Opp,ORB_Opp,DRB_Opp,RPG_Opp,APG_Opp,SPG_Opp,BPG_Opp,TOV_Opp,PF_Opp
2022GONZAGA,32,39.9,87.2,32.7,62.6,.521,8.2,22.1,.370,13.7,19.2,.713,9.2,31.3,40.4,18.1,6.4,5.8,11.5,15.5,32,39.9,66.2,24.7,64.8,.380,6.6,21.6,.305,10.3,14.8,.699,9.1,23.0,32.1,10.2,6.1,2.9,11.3,18.3
2022SOUTHDAKOTAST,35,40.2,85.9,30.8,59.1,.521,9.3,20.9,.445,14.9,19.7,.758,7.1,27.3,34.4,15.1,6.1,2.5,11.0,15.3,35,40.1,73.2,27.3,62.4,.437,9.1,25.6,.353,9.6,13.0,.740,7.8,22.5,30.3,12.1,4.9,2.6,11.4,17.9
2022ARIZONA,37,40.2,84.0,30.2,61.3,.492,7.8,22.0,.352,15.8,21.4,.739,11.2,29.0,40.2,19.6,6.7,5.7,13.4,16.7,37,40.2,68.1,25.1,64.9,.387,7.4,22.5,.328,10.5,15.6,.674,11.1,21.4,32.5,11.8,6.9,2.9,12.3,18.8
2022ORALROBERTS,31,40.3,83.3,30.2,66.2,.456,11.6,30.6,.379,11.2,15.4,.730,10.3,28.6,38.9,11.7,5.5,4.2,9.9,15.4,31,40.3,74.4,28.0,64.0,.437,7.5,22.7,.332,10.9,15.5,.703,8.5,25.8,34.3,11.0,5.5,3.4,10.5,15.5
2022IOWA,36,40.2,83.2,29.8,64.5,.461,9.2,25.3,.363,14.5,19.4,.749,11.2,24.5,35.7,16.0,7.3,4.3,9.2,16.2,36,40.2,71.2,26.4,60.3,.437,7.2,21.9,.329,11.3,15.8,.711,10.3,24.5,34.8,14.4,5.3,2.9,13.0,17.8
2022UAB,35,40.4,80.3,29.6,63.2,.468,7.9,20.9,.377,13.3,18.0,.739,11.4,25.5,37.0,13.0,9.6,4.1,11.5,16.5,35,40.4,66.7,23.8,57.4,.415,6.9,21.3,.325,12.2,17.3,.706,9.4,23.1,32.5,11.1,5.5,3.6,15.1,15.6
2022BOWLINGGREEN,31,40.3,80.3,28.4,65.3,.435,8.2,24.2,.340,15.2,20.5,.739,11.5,25.7,37.2,12.6,7.3,3.4,12.3,17.7,31,40.3,80.5,28.5,63.7,.448,9.6,27.5,.349,13.9,18.6,.747,10.4,26.2,36.6,14.4,6.3,2.6,12.8,18.0
2022DUKE,39,40.0,80.1,29.7,60.4,.491,7.9,21.6,.366,12.8,17.3,.738,9.9,26.8,36.7,16.5,6.4,5.6,10.3,13.6,39,40.1,67.8,26.3,63.1,.417,6.8,21.2,.320,8.3,12.0,.691,10.7,22.1,32.7,13.3,6.0,3.2,10.6,15.7
2022BUFFALO,30,40.0,79.9,29.7,65.2,.455,8.5,24.9,.342,12.0,17.0,.709,13.7,27.7,41.4,15.0,7.1,4.6,13.2,17.1,30,39.9,72.3,26.6,62.8,.423,6.4,20.3,.316,12.7,18.0,.704,10.1,23.2,33.3,11.5,6.1,3.3,12.0,16.6
2022TOLEDO,34,40.0,79.9,29.9,62.4,.479,6.9,19.5,.354,13.2,17.5,.754,10.3,28.7,39.0,15.3,5.6,2.8,10.2,15.1,34,40.0,68.6,25.5,63.1,.404,8.0,26.2,.307,9.6,14.4,.670,10.4,23.8,34.2,12.7,5.1,4.6,10.9,16.5
