Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,GP_Opp,MPG_Opp,PPG_Opp,FGM_Opp,FGA_Opp,FG%_Opp,3PM_Opp,3PA_Opp,3P%_Opp,FTM_Opp,FTA_Opp,FT%_Opp,ORB_Opp,DRB_Opp,RPG_Opp,APG_Opp,SPG_Opp,BPG_Opp,TOV_Opp,PF_Opp
2021GONZAGA,32,40.1,91.0,33.7,61.4,.549,7.5,20.4,.368,16.0,21.9,.731,8.6,27.4,36.0,18.8,7.9,2.8,12.0,16.3,32,40.1,69.7,25.9,61.4,.422,6.8,20.7,.327,11.1,15.8,.703,7.8,21.2,29.0,11.8,6.1,2.8,13.7,19.3
2021COLGATE,16,40.3,85.2,30.9,62.8,.493,9.3,22.8,.405,14.1,19.4,.723,9.8,29.8,39.6,17.4,7.1,3.4,10.8,16.2,16,40.3,69.6,26.1,63.5,.410,6.1,23.0,.264,11.4,16.7,.685,10.1,24.8,34.9,11.1,5.5,2.9,12.1,17.6
2021SOUTHERNUTAH,24,40.1,84.2,29.1,61.5,.474,8.8,25.8,.341,17.2,23.0,.748,10.7,28.0,38.7,14.1,7.0,2.6,12.1,16.9,24,40.1,69.5,25.3,59.5,.425,7.6,23.1,.328,11.4,17.0,.667,7.6,23.0,30.5,13.0,5.0,2.9,13.8,19.8
2021BRYANT,22,40.0,83.8,29.0,62.4,.465,9.5,24.8,.381,16.3,21.5,.761,9.8,28.9,38.6,15.3,6.9,3.5,15.1,16.6,22,40.0,75.6,27.7,67.3,.411,7.5,25.9,.288,12.8,18.2,.705,12.1,25.1,37.2,14.8,7.3,3.7,14.0,19.1
2021IOWA,31,40.1,83.7,29.8,63.3,.471,9.7,25.2,.386,14.5,20.2,.715,11.0,28.1,39.1,19.2,5.6,4.5,9.5,14.9,31,40.1,72.7,27.1,64.6,.420,8.9,25.5,.348,9.7,14.3,.676,11.2,24.5,35.6,16.3,5.4,3.2,11.3,18.5
2021BAYLOR,30,40.1,82.9,30.6,62.9,.486,10.0,24.1,.413,11.8,16.7,.708,11.9,22.4,34.3,16.9,8.9,3.7,11.5,17.1,30,40.1,65.5,23.7,54.7,.433,6.2,18.8,.329,11.9,17.1,.695,9.5,20.7,30.2,12.3,5.6,4.1,16.9,16.4
2021WRIGHTST,24,40.2,82.0,29.6,61.3,.483,7.5,20.2,.370,15.3,21.2,.724,11.5,29.8,41.3,15.4,5.9,3.6,13.1,13.7,24,40.2,67.4,25.6,63.9,.401,6.4,21.0,.306,9.8,13.9,.701,9.5,22.4,31.8,11.3,7.2,2.1,12.1,19.3
2021EASTERNKENTUCKY,29,40.6,81.8,30.0,67.1,.448,9.6,26.8,.359,12.1,17.1,.706,10.3,24.6,34.8,15.9,10.3,3.6,12.8,18.4,29,40.6,73.7,26.6,59.8,.444,6.9,21.3,.325,13.7,18.8,.725,10.2,28.3,38.6,15.2,6.2,2.8,18.9,16.5
2021WEBERST,23,40.0,81.8,28.5,56.5,.505,8.4,21.6,.389,16.3,20.8,.787,6.4,26.1,32.5,15.0,6.7,3.0,12.5,16.3,23,40.0,69.3,24.7,58.3,.424,7.0,20.8,.339,12.8,17.8,.717,8.4,22.6,31.0,12.7,6.2,2.3,14.1,19.0
2021LSU,29,40.1,81.8,28.8,62.9,.459,8.1,23.2,.347,16.0,21.4,.750,11.0,26.2,37.3,12.1,7.8,2.9,11.4,17.4,29,40.1,75.2,26.7,63.6,.419,8.4,28.0,.300,13.5,18.9,.714,12.1,24.4,36.6,13.8,5.8,3.7,13.0,18.1
