Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,GP_Opp,MPG_Opp,PPG_Opp,FGM_Opp,FGA_Opp,FG%_Opp,3PM_Opp,3PA_Opp,3P%_Opp,FTM_Opp,FTA_Opp,FT%_Opp,ORB_Opp,DRB_Opp,RPG_Opp,APG_Opp,SPG_Opp,BPG_Opp,TOV_Opp,PF_Opp
2012IONA,33,40.5,82.9,30.9,61.6,.502,7.7,19.9,.387,13.3,18.7,.713,9.6,23.0,32.7,19.3,7.3,2.2,12.5,16.9,33,40.5,72.7,26.8,59.5,.451,7.2,20.3,.354,11.9,17.1,.696,10.5,21.6,32.1,14.4,5.5,3.2,15.8,17.7
2012LONGISLAND,34,40.1,81.4,27.1,57.1,.474,6.6,17.8,.371,20.7,28.4,.730,10.2,25.0,35.1,14.7,6.1,3.3,16.0,15.6,34,40.1,77.7,30.6,68.0,.449,6.1,18.7,.328,10.4,15.0,.694,12.7,21.1,33.9,15.6,8.6,3.9,13.8,23.4
2012NORTHCAROLINA,38,40.1,81.3,29.8,65.1,.459,5.1,15.3,.334,16.6,24.3,.682,14.1,28.6,42.6,17.3,6.8,5.8,11.9,14.5,38,40.1,67.1,25.2,64.0,.394,7.2,22.7,.319,9.5,13.9,.681,9.8,22.3,32.1,11.7,6.2,3.4,13.3,20.6
2012BELMONT,35,40.3,80.9,27.9,57.9,.481,8.8,23.3,.378,16.3,22.3,.734,10.3,23.7,34.0,17.3,7.3,2.2,12.3,17.9,35,40.3,67.5,24.3,56.6,.429,5.9,17.4,.342,13.1,19.8,.659,10.7,21.2,31.9,13.0,6.4,4.2,14.5,19.1
2012UNCASHEVILLE,34,40.1,80.7,27.1,56.1,.482,6.6,18.5,.355,20.1,26.3,.764,10.4,22.3,32.8,16.6,8.3,2.6,13.4,18.0,34,40.1,71.4,25.4,57.3,.444,6.9,19.7,.349,13.6,20.4,.665,11.2,20.1,31.3,14.7,6.6,3.1,15.8,21.6
2012MISSOURI,35,40.1,80.4,28.0,55.6,.504,8.4,21.1,.398,16.0,20.9,.766,8.4,21.7,30.1,16.2,8.1,2.8,10.2,14.3,35,40.1,66.3,24.8,55.9,.444,6.3,17.3,.368,10.3,15.2,.677,9.9,19.8,29.7,12.9,5.2,2.6,14.3,18.8
2012OAKLAND,36,40.4,79.9,26.3,58.4,.450,9.3,24.9,.374,17.9,24.4,.737,9.6,21.7,31.3,13.2,6.4,2.1,11.9,18.2,36,40.4,78.6,28.6,58.7,.488,8.0,20.3,.395,13.4,18.3,.732,8.8,22.8,31.6,14.9,5.8,3.4,13.1,20.1
2012VIRGINIAMILITARY,33,40.2,79.7,27.0,60.8,.445,8.6,26.9,.319,17.1,23.8,.719,9.3,21.2,30.5,13.3,8.3,3.8,13.3,18.7,33,40.2,80.6,29.7,61.4,.483,6.1,17.7,.344,15.2,21.8,.698,11.3,26.0,37.3,15.9,6.7,2.5,15.9,19.7
2012CREIGHTON,35,40.3,79.2,27.9,55.3,.504,8.2,19.3,.424,15.3,21.1,.726,8.7,25.3,34.0,17.6,4.8,2.3,12.0,16.9,35,40.3,69.7,25.8,58.5,.441,6.5,18.0,.361,11.6,17.1,.675,8.5,20.3,28.8,13.2,6.4,3.1,10.3,18.6
2012OREGONSTATE,36,40.8,78.9,27.6,58.1,.475,6.1,17.1,.359,17.5,25.9,.677,10.5,22.3,32.8,15.8,9.1,4.6,14.0,18.7,36,40.8,72.7,25.9,56.9,.455,6.6,17.0,.388,14.3,21.4,.668,10.3,21.8,32.0,13.1,6.4,3.1,16.5,21.0
