Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,GP_Opp,MPG_Opp,PPG_Opp,FGM_Opp,FGA_Opp,FG%_Opp,3PM_Opp,3PA_Opp,3P%_Opp,FTM_Opp,FTA_Opp,FT%_Opp,ORB_Opp,DRB_Opp,RPG_Opp,APG_Opp,SPG_Opp,BPG_Opp,TOV_Opp,PF_Opp
2014PRINCETON,30,40.7,70.6,23.5,53.1,.442,9.3,25.8,.359,14.4,20.0,.721,7.8,23.8,31.6,14.4,6.3,3.6,11.2,16.9,30,40.7,64.4,22.6,52.8,.429,5.0,15.4,.325,14.1,19.2,.733,7.6,23.9,31.6,10.4,6.1,3.1,12.4,18.4
2014CENTRALCONNECTICUTST,30,40.3,70.6,26.0,59.8,.435,5.6,16.8,.335,12.9,17.9,.717,9.9,23.6,33.5,13.0,6.9,4.9,14.0,18.6,30,40.3,77.3,27.7,61.6,.449,7.6,20.8,.364,14.3,20.8,.686,13.2,25.3,38.5,12.6,6.7,4.7,13.0,16.6
2014USC,32,40.5,70.6,25.0,57.0,.439,4.6,15.7,.291,15.9,23.8,.670,10.6,25.7,36.3,12.6,5.4,4.4,14.1,19.6,32,40.5,75.3,26.3,61.3,.430,6.8,21.1,.323,15.8,23.1,.684,11.7,24.1,35.8,14.8,7.4,4.2,10.8,18.8
2014SAMFORD,33,40.2,70.5,25.7,54.3,.474,4.9,14.8,.330,14.2,21.0,.676,8.4,22.4,30.8,13.6,5.6,3.0,12.7,21.0,33,40.2,76.4,25.9,56.0,.463,6.8,18.4,.370,17.8,26.0,.683,10.9,23.0,34.0,14.1,6.2,4.0,11.7,18.6
2014UCIRVINE,35,40.4,70.5,26.0,55.2,.470,5.6,15.9,.354,12.9,20.2,.641,10.3,26.8,37.1,15.6,5.6,6.4,12.7,18.4,35,40.4,63.7,21.3,57.1,.374,5.6,16.9,.331,15.5,21.8,.713,10.6,22.2,32.8,11.0,5.7,2.5,10.3,18.2
2014MILWAUKEE,35,40.4,70.4,23.1,53.9,.428,7.0,21.5,.325,17.3,23.5,.734,9.3,23.4,32.7,13.6,5.7,2.4,13.4,18.0,35,40.4,70.5,24.8,56.9,.436,5.8,18.8,.311,15.1,20.2,.745,9.9,24.1,34.1,11.9,6.9,3.8,12.9,21.0
2014LIBERTY,32,40.0,70.3,25.5,55.7,.458,5.6,15.7,.359,13.7,19.4,.704,11.8,24.2,35.9,13.2,4.7,3.4,13.3,17.6,32,40.0,69.8,24.0,55.4,.433,7.4,21.4,.345,14.5,20.1,.720,9.1,20.0,29.1,12.1,6.5,3.9,10.5,17.5
2014SANDIEGOST,36,40.3,70.3,24.3,55.8,.435,5.2,14.4,.358,16.6,25.1,.663,12.7,24.2,36.9,9.9,7.6,5.1,9.9,16.7,36,40.3,57.0,20.4,52.9,.386,4.8,16.8,.288,11.4,16.9,.675,9.4,21.8,31.2,9.9,4.3,4.2,13.6,19.6
2014COLORADO,35,40.4,70.2,23.3,53.5,.435,5.2,16.3,.318,18.5,25.8,.718,11.2,25.5,36.6,11.3,5.9,3.3,13.3,16.5,35,40.4,68.2,24.5,56.8,.431,7.2,20.2,.356,12.1,17.2,.702,8.7,21.7,30.4,13.3,6.6,3.4,12.1,20.3
2014UCDAVIS,31,41.0,70.1,24.0,54.9,.438,7.9,22.2,.357,14.2,20.4,.696,7.5,19.9,27.5,12.0,5.1,2.3,12.0,19.5,31,41.0,77.7,27.5,56.6,.485,6.9,18.0,.384,15.9,21.3,.747,10.2,25.2,35.3,15.8,5.9,3.5,12.5,18.5
