TEAM1,TEAM2,DIFF
2014SANDIEGOST,2014NEWMEXICOST,4.0
2014BAYLOR,2014NEBRASKA,14.0
2014CREIGHTON,2014LOUISIANALAFAYETTE,10.0
2014OREGON,2014BYU,19.0
2014WISCONSIN,2014AMERICAN,40.0
2014WICHITAST,2014CALPOLY,27.0
2014KENTUCKY,2014KANSASST,7.0
2014SAINTLOUIS,2014NORTHCAROLINAST,3.0
2014LOUISVILLE,2014MANHATTAN,7.0
2014MASSACHUSETTS,2014TENNESSEE,-19.0
2014DUKE,2014MERCER,-7.0
2014TEXAS,2014ARIZONAST,2.0
2014MICHIGAN,2014WOFFORD,17.0
2014FLORIDA,2014PITTSBURGH,16.0
2014STEPHENFAUSTIN,2014UCLA,-17.0
2014DAYTON,2014SYRACUSE,2.0
2014STANFORD,2014KANSAS,3.0
2014VIRGINIA,2014MEMPHIS,18.0
2014HARVARD,2014MICHIGANST,-7.0
2014NORTHCAROLINA,2014IOWAST,-2.0
2014CONNECTICUT,2014VILLANOVA,12.0
2014ARIZONA,2014GONZAGA,23.0
2014NORTHDAKOTAST,2014SANDIEGOST,-19.0
2014BAYLOR,2014CREIGHTON,30.0
2014OREGON,2014WISCONSIN,-8.0
2014WICHITAST,2014KENTUCKY,-2.0
2014SAINTLOUIS,2014LOUISVILLE,-15.0
2014TENNESSEE,2014MERCER,20.0
2014TEXAS,2014MICHIGAN,-14.0
2014FLORIDA,2014UCLA,11.0
2014DAYTON,2014STANFORD,10.0
2014VIRGINIA,2014MICHIGANST,-2.0
2014IOWAST,2014CONNECTICUT,-5.0
2014ARIZONA,2014SANDIEGOST,6.0
2014BAYLOR,2014WISCONSIN,-17.0
2014KENTUCKY,2014LOUISVILLE,5.0
2014TENNESSEE,2014MICHIGAN,-2.0
2014FLORIDA,2014DAYTON,10.0
2014MICHIGANST,2014CONNECTICUT,-6.0
2014ARIZONA,2014WISCONSIN,-1.0
2014KENTUCKY,2014MICHIGAN,3.0
2014FLORIDA,2014CONNECTICUT,-10.0
2014WISCONSIN,2014KENTUCKY,-1.0
2014CONNECTICUT,2014KENTUCKY,6.0
2013LOUISVILLE,2013NORTHCAROLINAAT,31.0
2013COLORADOST,2013MISSOURI,12.0
2013OKLAHOMAST,2013OREGON,-13.0
2013SAINTLOUIS,2013NEWMEXICOST,20.0
2013MEMPHIS,2013SAINTMARYS,2.0
2013MICHIGANST,2013VALPARAISO,11.0
2013CREIGHTON,2013CINCINNATI,4.0
2013DUKE,2013ALBANY,12.0
2013GONZAGA,2013SOUTHERN,6.0
2013PITTSBURGH,2013WICHITAST,-18.0
2013WISCONSIN,2013MISSISSIPPI,-11.0
2013KANSASST,2013LASALLE,-2.0
2013ARIZONA,2013BELMONT,17.0
2013NEWMEXICO,2013HARVARD,-6.0
2013NOTREDAME,2013IOWAST,-18.0
2013OHIOST,2013IONA,25.0
2013KANSAS,2013WESTERNKENTUCKY,7.0
2013NORTHCAROLINA,2013VILLANOVA,7.0
2013VCU,2013AKRON,46.0
2013MICHIGAN,2013SOUTHDAKOTAST,15.0
2013UCLA,2013MINNESOTA,-20.0
2013FLORIDA,2013NORTHWESTERNST,32.0
2013SANDIEGOST,2013OKLAHOMA,15.0
2013GEORGETOWN,2013FLORIDAGULFCOAST,-10.0
2013INDIANA,2013JAMESMADISON,21.0
2013NORTHCAROLINAST,2013TEMPLE,-4.0
2013UNLV,2013CALIFORNIA,-3.0
2013SYRACUSE,2013MONTANA,47.0
2013BUTLER,2013BUCKNELL,12.0
2013MARQUETTE,2013DAVIDSON,1.0
2013ILLINOIS,2013COLORADO,8.0
2013MIAMIFL,2013PACIFIC,29.0
2013LOUISVILLE,2013COLORADOST,26.0
2013OREGON,2013SAINTLOUIS,17.0
2013MEMPHIS,2013MICHIGANST,-22.0
2013CREIGHTON,2013DUKE,-16.0
2013GONZAGA,2013WICHITAST,-6.0
2013MISSISSIPPI,2013LASALLE,-2.0
2013ARIZONA,2013HARVARD,23.0
2013IOWAST,2013OHIOST,-3.0
2013KANSAS,2013NORTHCAROLINA,12.0
2013VCU,2013MICHIGAN,-25.0
2013MINNESOTA,2013FLORIDA,-14.0
2013SANDIEGOST,2013FLORIDAGULFCOAST,-10.0
2013INDIANA,2013TEMPLE,6.0
2013CALIFORNIA,2013SYRACUSE,-6.0
2013BUTLER,2013MARQUETTE,-2.0
2013ILLINOIS,2013MIAMIFL,-4.0
2013LOUISVILLE,2013OREGON,8.0
2013MICHIGANST,2013DUKE,-10.0
2013WICHITAST,2013LASALLE,14.0
2013ARIZONA,2013OHIOST,-3.0
2013KANSAS,2013MICHIGAN,-2.0
2013FLORIDA,2013FLORIDAGULFCOAST,12.0
2013INDIANA,2013SYRACUSE,-11.0
2013MARQUETTE,2013MIAMIFL,10.0
2013LOUISVILLE,2013DUKE,22.0
2013WICHITAST,2013OHIOST,4.0
2013MICHIGAN,2013FLORIDA,20.0
2013SYRACUSE,2013MARQUETTE,16.0
2013LOUISVILLE,2013WICHITAST,4.0
2013MICHIGAN,2013SYRACUSE,5.0
2013LOUISVILLE,2013MICHIGAN,6.0
2012KENTUCKY,2012WESTERNKENTUCKY,15.0
2012IOWAST,2012CONNECTICUT,13.0
2012WICHITAST,2012VCU,-3.0
2012INDIANA,2012NEWMEXICOST,13.0
2012UNLV,2012COLORADO,-4.0
2012BAYLOR,2012SOUTHDAKOTAST,8.0
2012NOTREDAME,2012XAVIER,-4.0
2012DUKE,2012LEHIGH,-5.0
2012MICHIGANST,2012LIUBROOKLYN,22.0
2012MEMPHIS,2012SAINTLOUIS,-7.0
2012NEWMEXICO,2012LONGBEACHST,7.0
2012LOUISVILLE,2012DAVIDSON,7.0
2012MURRAYST,2012COLORADOST,17.0
2012MARQUETTE,2012BYU,20.0
2012FLORIDA,2012VIRGINIA,26.0
2012MISSOURI,2012NORFOLKST,-2.0
2012SYRACUSE,2012UNCASHEVILLE,7.0
2012KANSASST,2012SOUTHERNMISS,6.0
2012VANDERBILT,2012HARVARD,9.0
2012WISCONSIN,2012MONTANA,24.0
2012CINCINNATI,2012TEXAS,6.0
2012FLORIDAST,2012STBONAVENTURE,3.0
2012GONZAGA,2012WESTVIRGINIA,23.0
2012OHIOST,2012LOYOLAMD,19.0
2012NORTHCAROLINA,2012VERMONT,19.0
2012CREIGHTON,2012ALABAMA,1.0
2012TEMPLE,2012SOUTHFLORIDA,-14.0
2012MICHIGAN,2012OHIO,-5.0
2012SANDIEGOST,2012NORTHCAROLINAST,-14.0
2012GEORGETOWN,2012BELMONT,15.0
2012SAINTMARYS,2012PURDUE,-3.0
2012KANSAS,2012DETROIT,15.0
2012KENTUCKY,2012IOWAST,16.0
2012VCU,2012INDIANA,-2.0
2012COLORADO,2012BAYLOR,-17.0
2012XAVIER,2012LEHIGH,12.0
2012MICHIGANST,2012SAINTLOUIS,4.0
2012NEWMEXICO,2012LOUISVILLE,-3.0
2012MURRAYST,2012MARQUETTE,-9.0
2012FLORIDA,2012NORFOLKST,34.0
2012SYRACUSE,2012KANSASST,16.0
2012VANDERBILT,2012WISCONSIN,-3.0
2012CINCINNATI,2012FLORIDAST,6.0
2012GONZAGA,2012OHIOST,-7.0
2012NORTHCAROLINA,2012CREIGHTON,14.0
2012SOUTHFLORIDA,2012OHIO,-6.0
2012NORTHCAROLINAST,2012GEORGETOWN,3.0
2012PURDUE,2012KANSAS,-3.0
2012KENTUCKY,2012INDIANA,12.0
2012BAYLOR,2012XAVIER,5.0
2012MICHIGANST,2012LOUISVILLE,-13.0
2012MARQUETTE,2012FLORIDA,-10.0
2012SYRACUSE,2012WISCONSIN,1.0
2012CINCINNATI,2012OHIOST,-15.0
2012NORTHCAROLINA,2012OHIO,8.0
2012NORTHCAROLINAST,2012KANSAS,-3.0
2012KENTUCKY,2012BAYLOR,12.0
2012LOUISVILLE,2012FLORIDA,4.0
2012SYRACUSE,2012OHIOST,-7.0
2012NORTHCAROLINA,2012KANSAS,-13.0
2012KENTUCKY,2012LOUISVILLE,8.0
2012OHIOST,2012KANSAS,-2.0
2012KENTUCKY,2012KANSAS,8.0
2011OHIOST,2011UTSA,29.0
2011GEORGEMASON,2011VILLANOVA,4.0
2011WESTVIRGINIA,2011CLEMSON,8.0
2011KENTUCKY,2011PRINCETON,2.0
2011XAVIER,2011MARQUETTE,-11.0
2011SYRACUSE,2011INDIANAST,17.0
2011WASHINGTON,2011GEORGIA,3.0
2011NORTHCAROLINA,2011LIUBROOKLYN,15.0
2011DUKE,2011HAMPTON,42.0
2011MICHIGAN,2011TENNESSEE,30.0
2011ARIZONA,2011MEMPHIS,2.0
2011TEXAS,2011OAKLAND,4.0
2011CINCINNATI,2011MISSOURI,15.0
2011CONNECTICUT,2011BUCKNELL,29.0
2011TEMPLE,2011PENNST,2.0
2011SANDIEGOST,2011NORTHERNCOLORADO,18.0
2011KANSAS,2011BOSTONUNIVERSITY,19.0
2011UNLV,2011ILLINOIS,-11.0
2011VANDERBILT,2011RICHMOND,-3.0
2011LOUISVILLE,2011MOREHEADST,-1.0
2011GEORGETOWN,2011VCU,-18.0
2011PURDUE,2011SAINTPETERS,22.0
2011TEXASAM,2011FLORIDAST,-7.0
2011NOTREDAME,2011AKRON,13.0
2011PITTSBURGH,2011UNCASHEVILLE,23.0
2011BUTLER,2011OLDDOMINION,2.0
2011KANSASST,2011UTAHST,5.0
2011WISCONSIN,2011BELMONT,14.0
2011STJOHNS,2011GONZAGA,-15.0
2011BYU,2011WOFFORD,8.0
2011UCLA,2011MICHIGANST,2.0
2011FLORIDA,2011UCSANTABARBARA,28.0
2011OHIOST,2011GEORGEMASON,32.0
2011WESTVIRGINIA,2011KENTUCKY,-8.0
2011MARQUETTE,2011SYRACUSE,4.0
2011WASHINGTON,2011NORTHCAROLINA,-3.0
2011DUKE,2011MICHIGAN,2.0
2011ARIZONA,2011TEXAS,1.0
2011CINCINNATI,2011CONNECTICUT,-11.0
2011TEMPLE,2011SANDIEGOST,-7.0
2011KANSAS,2011ILLINOIS,14.0
2011RICHMOND,2011MOREHEADST,17.0
2011VCU,2011PURDUE,18.0
2011FLORIDAST,2011NOTREDAME,14.0
2011PITTSBURGH,2011BUTLER,-1.0
2011KANSASST,2011WISCONSIN,-5.0
2011GONZAGA,2011BYU,-22.0
2011UCLA,2011FLORIDA,-8.0
2011OHIOST,2011KENTUCKY,-2.0
2011MARQUETTE,2011NORTHCAROLINA,-18.0
2011DUKE,2011ARIZONA,-16.0
2011CONNECTICUT,2011SANDIEGOST,7.0
2011KANSAS,2011RICHMOND,20.0
2011VCU,2011FLORIDAST,1.0
2011BUTLER,2011WISCONSIN,7.0
2011BYU,2011FLORIDA,-9.0
2011KENTUCKY,2011NORTHCAROLINA,7.0
2011ARIZONA,2011CONNECTICUT,-2.0
2011KANSAS,2011VCU,-10.0
2011BUTLER,2011FLORIDA,3.0
2011KENTUCKY,2011CONNECTICUT,-1.0
2011VCU,2011BUTLER,-8.0
2011CONNECTICUT,2011BUTLER,12.0
2010KANSAS,2010LEHIGH,16.0
2010UNLV,2010NORTHERNIOWA,-3.0
2010MICHIGANST,2010NEWMEXICOST,3.0
2010MARYLAND,2010HOUSTON,12.0
2010TENNESSEE,2010SANDIEGOST,3.0
2010GEORGETOWN,2010OHIO,-14.0
2010OKLAHOMAST,2010GEORGIATECH,-5.0
2010OHIOST,2010UCSANTABARBARA,17.0
2010SYRACUSE,2010VERMONT,23.0
2010GONZAGA,2010FLORIDAST,7.0
2010BUTLER,2010UTEP,18.0
2010VANDERBILT,2010MURRAYST,-1.0
2010XAVIER,2010MINNESOTA,11.0
2010PITTSBURGH,2010OAKLAND,23.0
2010BYU,2010FLORIDA,7.0
2010KANSASST,2010NORTHTEXAS,20.0
2010KENTUCKY,2010EASTTENNESSEEST,29.0
2010TEXAS,2010WAKEFOREST,-1.0
2010TEMPLE,2010CORNELL,-13.0
2010WISCONSIN,2010WOFFORD,4.0
2010MARQUETTE,2010WASHINGTON,-2.0
2010NEWMEXICO,2010MONTANA,5.0
2010CLEMSON,2010MISSOURI,-8.0
2010WESTVIRGINIA,2010MORGANST,27.0
2010DUKE,2010ARKANSASPINEBLUFF,29.0
2010CALIFORNIA,2010LOUISVILLE,15.0
2010TEXASAM,2010UTAHST,16.0
2010PURDUE,2010SIENA,8.0
2010NOTREDAME,2010OLDDOMINION,-1.0
2010BAYLOR,2010SAMHOUSTONST,9.0
2010RICHMOND,2010SAINTMARYS,-9.0
2010VILLANOVA,2010ROBERTMORRIS,3.0
2010KANSAS,2010NORTHERNIOWA,-2.0
2010MICHIGANST,2010MARYLAND,2.0
2010TENNESSEE,2010OHIO,15.0
2010GEORGIATECH,2010OHIOST,-9.0
2010SYRACUSE,2010GONZAGA,22.0
2010BUTLER,2010MURRAYST,2.0
2010XAVIER,2010PITTSBURGH,3.0
2010BYU,2010KANSASST,-12.0
2010KENTUCKY,2010WAKEFOREST,30.0
2010CORNELL,2010WISCONSIN,18.0
2010WASHINGTON,2010NEWMEXICO,18.0
2010MISSOURI,2010WESTVIRGINIA,-9.0
2010DUKE,2010CALIFORNIA,15.0
2010TEXASAM,2010PURDUE,-2.0
2010OLDDOMINION,2010BAYLOR,-8.0
2010SAINTMARYS,2010VILLANOVA,7.0
2010NORTHERNIOWA,2010MICHIGANST,-7.0
2010TENNESSEE,2010OHIOST,3.0
2010SYRACUSE,2010BUTLER,-4.0
2010XAVIER,2010KANSASST,-5.0
2010KENTUCKY,2010CORNELL,17.0
2010WASHINGTON,2010WESTVIRGINIA,-13.0
2010DUKE,2010PURDUE,13.0
2010BAYLOR,2010SAINTMARYS,23.0
2010MICHIGANST,2010TENNESSEE,1.0
2010BUTLER,2010KANSASST,7.0
2010KENTUCKY,2010WESTVIRGINIA,-7.0
2010DUKE,2010BAYLOR,7.0
2010MICHIGANST,2010BUTLER,-2.0
2010WESTVIRGINIA,2010DUKE,-21.0
2010BUTLER,2010DUKE,-2.0
2009LOUISVILLE,2009MOREHEADST,20.0
2009OHIOST,2009SIENA,-2.0
2009UTAH,2009ARIZONA,-13.0
2009WAKEFOREST,2009CLEVELANDST,-15.0
2009WESTVIRGINIA,2009DAYTON,-8.0
2009KANSAS,2009NORTHDAKOTAST,10.0
2009BOSTONCOLLEGE,2009USC,-17.0
2009MICHIGANST,2009ROBERTMORRIS,15.0
2009CONNECTICUT,2009CHATTANOOGA,56.0
2009BYU,2009TEXASAM,-13.0
2009PURDUE,2009NORTHERNIOWA,5.0
2009WASHINGTON,2009MISSISSIPPIST,13.0
2009MARQUETTE,2009UTAHST,1.0
2009MISSOURI,2009CORNELL,19.0
2009CALIFORNIA,2009MARYLAND,-13.0
2009MEMPHIS,2009CALSTNORTHRIDGE,11.0
2009PITTSBURGH,2009EASTTENNESSEEST,10.0
2009OKLAHOMAST,2009TENNESSEE,2.0
2009FLORIDAST,2009WISCONSIN,-2.0
2009XAVIER,2009PORTLANDST,18.0
2009UCLA,2009VCU,1.0
2009VILLANOVA,2009AMERICAN,13.0
2009TEXAS,2009MINNESOTA,14.0
2009DUKE,2009BINGHAMTON,24.0
2009NORTHCAROLINA,2009RADFORD,43.0
2009LSU,2009BUTLER,4.0
2009ILLINOIS,2009WESTERNKENTUCKY,-4.0
2009GONZAGA,2009AKRON,13.0
2009ARIZONAST,2009TEMPLE,9.0
2009SYRACUSE,2009STEPHENFAUSTIN,15.0
2009CLEMSON,2009MICHIGAN,-3.0
2009OKLAHOMA,2009MORGANST,28.0
2009LOUISVILLE,2009SIENA,7.0
2009ARIZONA,2009CLEVELANDST,14.0
2009DAYTON,2009KANSAS,-17.0
2009USC,2009MICHIGANST,-5.0
2009CONNECTICUT,2009TEXASAM,26.0
2009PURDUE,2009WASHINGTON,2.0
2009MARQUETTE,2009MISSOURI,-4.0
2009MARYLAND,2009MEMPHIS,-19.0
2009PITTSBURGH,2009OKLAHOMAST,8.0
2009WISCONSIN,2009XAVIER,-11.0
2009UCLA,2009VILLANOVA,-20.0
2009TEXAS,2009DUKE,-5.0
2009NORTHCAROLINA,2009LSU,14.0
2009WESTERNKENTUCKY,2009GONZAGA,-2.0
2009ARIZONAST,2009SYRACUSE,-11.0
2009MICHIGAN,2009OKLAHOMA,-10.0
2009LOUISVILLE,2009ARIZONA,39.0
2009KANSAS,2009MICHIGANST,-5.0
2009CONNECTICUT,2009PURDUE,12.0
2009MISSOURI,2009MEMPHIS,11.0
2009PITTSBURGH,2009XAVIER,5.0
2009VILLANOVA,2009DUKE,23.0
2009NORTHCAROLINA,2009GONZAGA,21.0
2009SYRACUSE,2009OKLAHOMA,-13.0
2009LOUISVILLE,2009MICHIGANST,-12.0
2009CONNECTICUT,2009MISSOURI,7.0
2009PITTSBURGH,2009VILLANOVA,-2.0
2009NORTHCAROLINA,2009OKLAHOMA,12.0
2009MICHIGANST,2009CONNECTICUT,9.0
2009VILLANOVA,2009NORTHCAROLINA,-14.0
2009MICHIGANST,2009NORTHCAROLINA,-17.0
2008NORTHCAROLINA,2008MOUNTSTMARYS,39.0
2008INDIANA,2008ARKANSAS,-14.0
2008NOTREDAME,2008GEORGEMASON,18.0
2008WASHINGTONST,2008WINTHROP,31.0
2008OKLAHOMA,2008SAINTJOSEPHS,8.0
2008LOUISVILLE,2008BOISEST,18.0
2008BUTLER,2008SOUTHALABAMA,20.0
2008TENNESSEE,2008AMERICAN,15.0
2008KANSAS,2008PORTLANDST,24.0
2008UNLV,2008KENTST,13.0
2008CLEMSON,2008VILLANOVA,-6.0
2008VANDERBILT,2008SIENA,-21.0
2008USC,2008KANSASST,-13.0
2008WISCONSIN,2008CALSTFULLERTON,15.0
2008GONZAGA,2008DAVIDSON,-6.0
2008GEORGETOWN,2008UMBC,19.0
2008MEMPHIS,2008UTARLINGTON,24.0
2008MISSISSIPPIST,2008OREGON,7.0
2008MICHIGANST,2008TEMPLE,11.0
2008PITTSBURGH,2008ORALROBERTS,19.0
2008MARQUETTE,2008KENTUCKY,8.0
2008STANFORD,2008CORNELL,24.0
2008MIAMIFL,2008SAINTMARYS,14.0
2008TEXAS,2008AUSTINPEAY,20.0
2008UCLA,2008MISSISSIPPIVALLEYST,41.0
2008BYU,2008TEXASAM,-5.0
2008DRAKE,2008WESTERNKENTUCKY,-2.0
2008CONNECTICUT,2008SANDIEGO,-1.0
2008PURDUE,2008BAYLOR,11.0
2008XAVIER,2008GEORGIA,12.0
2008WESTVIRGINIA,2008ARIZONA,10.0
2008DUKE,2008BELMONT,1.0
2008NORTHCAROLINA,2008ARKANSAS,31.0
2008NOTREDAME,2008WASHINGTONST,-20.0
2008OKLAHOMA,2008LOUISVILLE,-30.0
2008BUTLER,2008TENNESSEE,-5.0
2008KANSAS,2008UNLV,19.0
2008VILLANOVA,2008SIENA,12.0
2008KANSASST,2008WISCONSIN,-17.0
2008DAVIDSON,2008GEORGETOWN,4.0
2008MEMPHIS,2008MISSISSIPPIST,3.0
2008MICHIGANST,2008PITTSBURGH,11.0
2008MARQUETTE,2008STANFORD,-1.0
2008MIAMIFL,2008TEXAS,-3.0
2008UCLA,2008TEXASAM,2.0
2008WESTERNKENTUCKY,2008SANDIEGO,9.0
2008PURDUE,2008XAVIER,-7.0
2008WESTVIRGINIA,2008DUKE,6.0
2008NORTHCAROLINA,2008WASHINGTONST,21.0
2008LOUISVILLE,2008TENNESSEE,19.0
2008KANSAS,2008VILLANOVA,15.0
2008WISCONSIN,2008DAVIDSON,-17.0
2008MEMPHIS,2008MICHIGANST,18.0
2008STANFORD,2008TEXAS,-20.0
2008UCLA,2008WESTERNKENTUCKY,10.0
2008XAVIER,2008WESTVIRGINIA,4.0
2008NORTHCAROLINA,2008LOUISVILLE,10.0
2008KANSAS,2008DAVIDSON,2.0
2008MEMPHIS,2008TEXAS,18.0
2008UCLA,2008XAVIER,19.0
2008NORTHCAROLINA,2008KANSAS,-18.0
2008MEMPHIS,2008UCLA,15.0
2008KANSAS,2008MEMPHIS,7.0
