TEAM1,TEAM2,DIFF
2022MICHIGANST,2022DAVIDSON,1.0
2022DUKE,2022CALSTFULLERTON,17.0
2022BAYLOR,2022NORFOLKST,36.0
2022NORTHCAROLINA,2022MARQUETTE,32.0
2022SAINTMARYS,2022INDIANA,29.0
2022UCLA,2022AKRON,4.0
2022TEXAS,2022VIRGINIATECH,8.0
2022PURDUE,2022YALE,22.0
2022MURRAYST,2022SANFRANCISCO,5.0
2022KENTUCKY,2022SAINTPETERS,-6.0
2022ARIZONA,2022WRIGHTST,17.0
2022SETONHALL,2022TCU,-27.0
2022HOUSTON,2022UAB,14.0
2022ILLINOIS,2022CHATTANOOGA,1.0
2022COLORADOST,2022MICHIGAN,-12.0
2022TENNESSEE,2022LONGWOOD,32.0
2022OHIOST,2022LOYOLACHICAGO,13.0
2022VILLANOVA,2022DELAWARE,20.0
2022KANSAS,2022TEXASSOUTHERN,27.0
2022SANDIEGOST,2022CREIGHTON,-3.0
2022IOWA,2022RICHMOND,-4.0
2022PROVIDENCE,2022SOUTHDAKOTAST,9.0
2022LSU,2022IOWAST,-5.0
2022WISCONSIN,2022COLGATE,7.0
2022USC,2022MIAMIFL,-2.0
2022AUBURN,2022JACKSONVILLEST,19.0
2022GONZAGA,2022MEMPHIS,4.0
2022NEWMEXICOST,2022ARKANSAS,-5.0
2022NOTREDAME,2022TEXASTECH,-6.0
2022MICHIGANST,2022DUKE,-9.0
2022BAYLOR,2022NORTHCAROLINA,-7.0
2022SAINTMARYS,2022UCLA,-16.0
2022TEXAS,2022PURDUE,-10.0
2022MURRAYST,2022SAINTPETERS,-10.0
2022ARIZONA,2022TCU,5.0
2022HOUSTON,2022ILLINOIS,15.0
2022MICHIGAN,2022TENNESSEE,8.0
2022OHIOST,2022VILLANOVA,-10.0
2022KANSAS,2022CREIGHTON,7.0
2022RICHMOND,2022PROVIDENCE,-28.0
2022IOWAST,2022WISCONSIN,5.0
2022MIAMIFL,2022AUBURN,18.0
2022GONZAGA,2022ARKANSAS,-6.0
2022TEXASTECH,2022DUKE,-5.0
2022NORTHCAROLINA,2022UCLA,7.0
2022PURDUE,2022SAINTPETERS,-3.0
2022ARIZONA,2022HOUSTON,-12.0
2022MICHIGAN,2022VILLANOVA,-8.0
2022KANSAS,2022PROVIDENCE,5.0
2022IOWAST,2022MIAMIFL,-14.0
2022ARKANSAS,2022DUKE,-9.0
2022NORTHCAROLINA,2022SAINTPETERS,20.0
2022HOUSTON,2022VILLANOVA,-6.0
2022KANSAS,2022MIAMIFL,26.0
2022DUKE,2022NORTHCAROLINA,-4.0
2022VILLANOVA,2022KANSAS,-16.0
2022NORTHCAROLINA,2022KANSAS,-3.0
2021GONZAGA,2021NORFOLKST,43.0
2021OKLAHOMA,2021MISSOURI,4.0
2021CREIGHTON,2021UCSANTABARBARA,1.0
2021VIRGINIA,2021OHIO,-4.0
2021USC,2021DRAKE,16.0
2021KANSAS,2021EASTERNWASHINGTON,9.0
2021IOWA,2021GRANDCANYON,12.0
2021MICHIGAN,2021TEXASSOUTHERN,16.0
2021LSU,2021STBONAVENTURE,15.0
2021COLORADO,2021GEORGETOWN,23.0
2021FLORIDAST,2021UNCGREENSBORO,10.0
2021BYU,2021UCLA,-11.0
2021TEXAS,2021ABILENECHRISTIAN,-1.0
2021CONNECTICUT,2021MARYLAND,-9.0
2021ALABAMA,2021IONA,13.0
2021BAYLOR,2021HARTFORD,24.0
